1. schůze, 1. hlasování, 20. listopadu 2017, 13:53Inf. o ustavení volební komise PS a volbě členů
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
KSCM,15,12,0,1,0,2
KDU-CSL,10,1,4,1,1,3
TOP09,7,0,3,0,2,2
STAN,6,0,6,0,0,0
Celkem,200,103,32,13,25,27
26. schůze, 75. hlasování, 25. ledna 2019, 09:11Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,3,0,10
ODS,25,1,0,2,21,1
Pirati,22,17,0,2,0,3
SPD,22,0,0,1,20,1
CSSD,15,9,0,1,0,5
KSCM,15,12,0,1,0,2
KDU-CSL,10,5,0,0,2,3
TOP09,7,0,0,0,5,2
STAN,6,0,0,0,6,0
Celkem,200,109,0,10,54,27
26. schůze, 76. hlasování, 25. ledna 2019, 09:11Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,64,0,3,1,10
ODS,25,0,0,2,22,1
Pirati,22,0,0,2,17,3
SPD,22,0,0,0,21,1
CSSD,15,8,0,1,1,5
KSCM,15,12,0,1,0,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,102,0,9,62,27
26. schůze, 77. hlasování, 25. ledna 2019, 09:12Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,64,0,3,1,10
ODS,25,21,0,2,1,1
Pirati,22,17,0,2,0,3
SPD,22,20,0,0,1,1
CSSD,15,9,0,1,0,5
KSCM,15,12,0,1,0,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,161,0,9,3,27
26. schůze, 78. hlasování, 25. ledna 2019, 09:16Návrh usnesení PS ke Dni památky obětí holocaustu
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,65,0,3,0,10
ODS,25,22,0,2,0,1
Pirati,22,16,0,3,0,3
SPD,22,20,0,0,1,1
CSSD,15,9,0,1,0,5
KSCM,15,12,0,1,0,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,4,0,0,1,2
STAN,6,5,0,1,0,0
Celkem,200,160,0,11,2,27
26. schůze, 79. hlasování, 25. ledna 2019, 09:19Návrh Pravidel hospodaření poslaneckých klubů pro rok 2019
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,3,2,10
ODS,25,22,0,1,1,1
Pirati,22,18,0,1,0,3
SPD,22,21,0,0,0,1
CSSD,15,9,0,1,0,5
KSCM,15,12,0,1,0,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,4,0,0,1,2
STAN,6,5,0,0,1,0
Celkem,200,161,0,7,5,27
26. schůze, 80. hlasování, 25. ledna 2019, 09:23Informace vlády ČR k řešení krizové situace na dálnici D1
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,3,2,61,10
ODS,25,22,0,1,1,1
Pirati,22,18,0,1,0,3
SPD,22,21,0,0,0,1
CSSD,15,5,0,1,4,5
KSCM,15,11,0,0,2,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,5,0,0,0,2
STAN,6,5,0,0,1,0
Celkem,200,96,3,5,69,27
26. schůze, 81. hlasování, 25. ledna 2019, 09:24Informace vlády ČR k řešení krizové situace na dálnici D1
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,9,2,57,10
ODS,25,23,0,0,1,1
Pirati,22,18,0,1,0,3
SPD,22,21,0,0,0,1
CSSD,15,0,1,1,8,5
KSCM,15,0,0,0,13,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,10,4,79,27
26. schůze, 82. hlasování, 25. ledna 2019, 09:25Informace vlády ČR k řešení krizové situace na dálnici D1
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,5,2,61,10
ODS,25,23,0,0,1,1
Pirati,22,18,0,1,0,3
SPD,22,21,0,0,0,1
CSSD,15,0,0,1,9,5
KSCM,15,0,0,0,13,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,80,5,4,84,27
26. schůze, 83. hlasování, 25. ledna 2019, 09:25Informace vlády ČR k řešení krizové situace na dálnici D1
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,1,2,65,10
ODS,25,15,0,0,9,1
Pirati,22,2,0,1,16,3
SPD,22,21,0,0,0,1
CSSD,15,0,1,1,8,5
KSCM,15,0,0,0,13,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,56,2,4,111,27
26. schůze, 84. hlasování, 25. ledna 2019, 09:27Informace vlády ČR k řešení krizové situace na dálnici D1
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,1,3,63,10
ODS,25,17,1,0,6,1
Pirati,22,18,0,1,1,2
SPD,22,21,0,0,0,1
CSSD,15,0,0,1,9,5
KSCM,15,3,0,0,10,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,78,2,5,89,26
26. schůze, 85. hlasování, 25. ledna 2019, 09:27Informace vlády ČR k řešení krizové situace na dálnici D1
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,9,3,56,10
ODS,25,22,0,0,2,1
Pirati,22,19,0,1,0,2
SPD,22,0,0,0,21,1
CSSD,15,0,2,1,7,5
KSCM,15,0,4,0,9,2
KDU-CSL,10,7,0,0,0,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,59,15,5,95,26
26. schůze, 86. hlasování, 25. ledna 2019, 09:28Informace vlády ČR k řešení krizové situace na dálnici D1
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,9,3,56,10
ODS,25,23,0,0,1,1
Pirati,22,1,1,1,17,2
SPD,22,21,0,0,0,1
CSSD,15,1,0,1,8,5
KSCM,15,0,4,0,9,2
KDU-CSL,10,6,0,0,1,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,63,14,5,92,26
26. schůze, 87. hlasování, 25. ledna 2019, 09:44Novela z. - transplantační zákon
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,1,6,8
ODS,25,24,0,0,0,1
Pirati,22,11,0,0,9,2
SPD,22,20,0,0,1,1
CSSD,15,9,0,0,1,5
KSCM,15,11,0,0,2,2
KDU-CSL,10,4,0,0,3,3
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,152,0,1,23,24
26. schůze, 88. hlasování, 25. ledna 2019, 09:47Novela z. - transplantační zákon
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,1,10,8
ODS,25,24,0,0,0,1
Pirati,22,20,0,0,0,2
SPD,22,19,0,0,2,1
CSSD,15,8,0,0,2,5
KSCM,15,11,0,0,2,2
KDU-CSL,10,4,0,0,3,3
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,155,0,1,20,24
26. schůze, 89. hlasování, 25. ledna 2019, 09:48Novela z. - transplantační zákon
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,60,0,1,9,8
ODS,25,24,0,0,0,1
Pirati,22,20,0,0,0,2
SPD,22,18,0,0,3,1
CSSD,15,8,0,0,2,5
KSCM,15,11,0,0,2,2
KDU-CSL,10,4,0,0,3,3
TOP09,7,4,0,0,1,2
STAN,6,6,0,0,0,0
Celkem,200,155,0,1,20,24
26. schůze, 90. hlasování, 25. ledna 2019, 09:51Novela z. o volbách do Evropského parlamentu - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,60,0,9,1,8
ODS,25,22,0,2,0,1
Pirati,22,20,0,0,0,2
SPD,22,19,0,2,0,1
CSSD,15,9,0,1,0,5
KSCM,15,11,0,2,0,2
KDU-CSL,10,4,0,3,0,3
TOP09,7,4,0,1,0,2
STAN,6,5,0,1,0,0
Celkem,200,154,0,21,1,24
26. schůze, 91. hlasování, 25. ledna 2019, 10:00Novela z. o poskyt. náhrad škod způsob.chráněnými živočichy
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,60,0,5,4,9
ODS,25,21,0,1,2,1
Pirati,22,19,0,0,1,2
SPD,22,19,0,2,0,1
CSSD,15,6,0,1,3,5
KSCM,15,13,0,0,0,2
KDU-CSL,10,5,0,1,1,3
TOP09,7,2,0,1,2,2
STAN,6,4,0,0,2,0
Celkem,200,149,0,11,15,25
26. schůze, 92. hlasování, 25. ledna 2019, 10:04Novela z. o poskyt. náhrad škod způsob.chráněnými živočichy
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,58,0,4,7,9
ODS,25,21,0,1,2,1
Pirati,22,18,0,0,2,2
SPD,22,18,0,2,1,1
CSSD,15,8,0,1,1,5
KSCM,15,11,0,0,2,2
KDU-CSL,10,5,0,1,1,3
TOP09,7,3,0,1,1,2
STAN,6,4,0,0,2,0
Celkem,200,146,0,10,19,25
26. schůze, 93. hlasování, 25. ledna 2019, 10:06Novela z. o poskyt. náhrad škod způsob.chráněnými živočichy
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,51,0,4,14,9
ODS,25,20,0,1,3,1
Pirati,22,20,0,0,0,2
SPD,22,18,0,2,1,1
CSSD,15,7,0,1,2,5
KSCM,15,13,0,0,0,2
KDU-CSL,10,4,0,1,2,3
TOP09,7,3,0,1,1,2
STAN,6,5,0,0,1,0
Celkem,200,141,0,10,24,25
26. schůze, 94. hlasování, 25. ledna 2019, 10:07Novela z. o poskyt. náhrad škod způsob.chráněnými živočichy
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,57,1,5,6,9
ODS,25,21,0,1,2,1
Pirati,22,16,0,0,4,2
SPD,22,17,0,2,2,1
CSSD,15,7,0,1,2,5
KSCM,15,13,0,0,0,2
KDU-CSL,10,4,0,1,2,3
TOP09,7,3,0,1,1,2
STAN,6,5,0,0,1,0
Celkem,200,143,1,11,20,25
26. schůze, 95. hlasování, 25. ledna 2019, 10:41Vl.n.z.o změně zák.v souv.s přij.zák.o Sbírce zák.a mez.sml.
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,5,2,9
ODS,25,19,0,0,5,1
Pirati,22,19,0,0,1,2
SPD,22,20,0,0,1,1
CSSD,15,9,0,0,1,5
KSCM,15,10,0,0,3,2
KDU-CSL,10,6,0,0,1,3
TOP09,7,3,0,1,1,2
STAN,6,6,0,0,0,0
Celkem,200,154,0,6,15,25
26. schůze, 96. hlasování, 25. ledna 2019, 10:42Vl.n.z.o změně zák.v souv.s přij.zák.o Sbírce zák.a mez.sml.
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,3,3,9
ODS,25,20,0,0,4,1
Pirati,22,19,0,1,0,2
SPD,22,21,0,0,0,1
CSSD,15,9,0,0,1,5
KSCM,15,10,0,0,3,2
KDU-CSL,10,6,0,0,1,3
TOP09,7,3,0,1,1,2
STAN,6,5,0,0,1,0
Celkem,200,156,0,5,14,25
26. schůze, 97. hlasování, 25. ledna 2019, 10:57Novela z. o poštovních službách - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,53,0,4,12,9
ODS,25,16,0,0,8,1
Pirati,22,18,0,1,0,3
SPD,22,21,0,0,0,1
CSSD,15,8,0,0,2,5
KSCM,15,9,0,0,4,2
KDU-CSL,10,5,0,0,2,3
TOP09,7,4,0,0,1,2
STAN,6,4,0,0,2,0
Celkem,200,138,0,5,31,26
26. schůze, 98. hlasování, 25. ledna 2019, 10:58Novela z. o poštovních službách - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,48,1,4,16,9
ODS,25,17,0,0,7,1
Pirati,22,17,0,2,0,3
SPD,22,20,0,0,1,1
CSSD,15,8,0,0,2,5
KSCM,15,8,0,0,5,2
KDU-CSL,10,5,0,0,2,3
TOP09,7,4,0,0,1,2
STAN,6,4,0,0,2,0
Celkem,200,131,1,6,36,26
26. schůze, 99. hlasování, 25. ledna 2019, 10:59Novela z. o poštovních službách - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,3,22,4,40,9
ODS,25,17,0,0,7,1
Pirati,22,17,0,2,0,3
SPD,22,21,0,0,0,1
CSSD,15,0,4,0,6,5
KSCM,15,9,0,0,4,2
KDU-CSL,10,5,0,0,2,3
TOP09,7,4,0,0,1,2
STAN,6,4,0,0,2,0
Celkem,200,80,26,6,62,26
26. schůze, 100. hlasování, 25. ledna 2019, 11:27Vl.n.z, kterým se mění některé zák.na úseku vnitřní správy - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,57,0,4,8,9
ODS,25,21,0,0,3,1
Pirati,22,16,0,1,1,4
SPD,22,18,0,0,3,1
CSSD,15,8,0,1,1,5
KSCM,15,10,0,0,3,2
KDU-CSL,10,4,0,0,3,3
TOP09,7,5,0,0,0,2
STAN,6,6,0,0,0,0
Celkem,200,145,0,6,22,27
26. schůze, 101. hlasování, 25. ledna 2019, 11:28Vl.n.z, kterým se mění některé zák.na úseku vnitřní správy - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,58,0,4,7,9
ODS,25,0,20,0,4,1
Pirati,22,0,16,1,1,4
SPD,22,0,0,0,21,1
CSSD,15,8,0,1,1,5
KSCM,15,9,0,0,4,2
KDU-CSL,10,1,1,0,5,3
TOP09,7,0,5,0,0,2
STAN,6,0,6,0,0,0
Celkem,200,76,48,6,43,27
26. schůze, 102. hlasování, 25. ledna 2019, 12:07Vl.n.z. - nominační zákon
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,58,0,12,0,8
ODS,25,18,0,6,0,1
Pirati,22,17,0,1,0,4
SPD,22,17,0,3,0,2
CSSD,15,7,0,2,0,6
KSCM,15,8,0,4,1,2
KDU-CSL,10,5,0,1,0,4
TOP09,7,4,0,1,0,2
STAN,6,3,0,3,0,0
Celkem,200,137,0,33,1,29
26. schůze, 103. hlasování, 25. ledna 2019, 12:08Vl.n.z. - nominační zákon
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,1,9,60,8
ODS,25,18,0,6,0,1
Pirati,22,17,0,1,0,4
SPD,22,0,0,3,17,2
CSSD,15,0,2,2,5,6
KSCM,15,4,0,4,5,2
KDU-CSL,10,5,0,1,0,4
TOP09,7,4,0,1,0,2
STAN,6,3,0,3,0,0
Celkem,200,51,3,30,87,29
26. schůze, 104. hlasování, 25. ledna 2019, 12:27Novela z. o zpravodajských službách ČR
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,54,13,4,7
ODS,25,0,15,8,1,1
Pirati,22,16,0,2,0,4
SPD,22,0,0,7,13,2
CSSD,15,0,3,5,1,6
KSCM,15,0,1,7,5,2
KDU-CSL,10,0,0,2,4,4
TOP09,7,0,0,2,3,2
STAN,6,0,1,1,4,0
Celkem,200,16,74,47,35,28
26. schůze, 105. hlasování, 25. ledna 2019, 12:28Novela z. o zpravodajských službách ČR
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,61,0,9,1,7
ODS,25,16,0,8,0,1
Pirati,22,17,0,1,0,4
SPD,22,15,0,5,0,2
CSSD,15,4,0,5,0,6
KSCM,15,6,0,7,0,2
KDU-CSL,10,4,0,2,0,4
TOP09,7,3,0,2,0,2
STAN,6,5,0,1,0,0
Celkem,200,131,0,40,1,28
26. schůze, 106. hlasování, 25. ledna 2019, 12:29Novela z. o zpravodajských službách ČR
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,53,0,9,9,7
ODS,25,16,0,8,0,1
Pirati,22,17,0,1,0,4
SPD,22,15,0,5,0,2
CSSD,15,4,0,5,0,6
KSCM,15,0,0,7,6,2
KDU-CSL,10,4,0,2,0,4
TOP09,7,3,0,2,0,2
STAN,6,4,0,1,1,0
Celkem,200,116,0,40,16,28
26. schůze, 107. hlasování, 25. ledna 2019, 12:36N. z. o činnosti inst. zaměstnaneckého penzijního pojištění - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,54,0,7,10,7
ODS,25,15,0,5,4,1
Pirati,22,17,0,1,0,4
SPD,22,14,0,5,1,2
CSSD,15,3,0,4,1,7
KSCM,15,7,0,5,1,2
KDU-CSL,10,4,0,2,0,4
TOP09,7,3,0,2,0,2
STAN,6,3,0,1,1,1
Celkem,200,120,0,32,18,30
26. schůze, 108. hlasování, 25. ledna 2019, 12:37N. z. o činnosti inst. zaměstnaneckého penzijního pojištění - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,54,0,7,10,7
ODS,25,3,12,5,4,1
Pirati,22,16,1,1,0,4
SPD,22,0,0,5,15,2
CSSD,15,3,0,4,1,7
KSCM,15,7,0,5,1,2
KDU-CSL,10,0,1,2,3,4
TOP09,7,0,2,2,1,2
STAN,6,0,2,1,2,1
Celkem,200,83,18,32,37,30
26. schůze, 109. hlasování, 25. ledna 2019, 13:27Novela z. o investičních pobídkách
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,7,5,7
ODS,25,15,0,4,5,1
Pirati,22,18,0,1,0,3
SPD,22,18,0,2,0,2
CSSD,15,5,0,2,1,7
KSCM,15,6,0,2,5,2
KDU-CSL,10,4,0,2,0,4
TOP09,7,5,0,0,0,2
STAN,6,4,0,0,0,2
Celkem,200,134,0,20,16,30
26. schůze, 110. hlasování, 25. ledna 2019, 13:28Novela z. o investičních pobídkách
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,6,8,7,50,7
ODS,25,15,0,4,5,1
Pirati,22,18,0,1,0,3
SPD,22,18,0,2,0,2
CSSD,15,0,2,2,4,7
KSCM,15,0,0,2,11,2
KDU-CSL,10,4,0,2,0,4
TOP09,7,5,0,0,0,2
STAN,6,4,0,0,0,2
Celkem,200,70,10,20,70,30
26. schůze, 111. hlasování, 29. ledna 2019, 14:08Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,67,0,4,1,6
ODS,25,21,0,1,1,2
Pirati,22,20,0,0,0,2
SPD,22,20,0,1,0,1
CSSD,15,7,0,1,3,4
KSCM,15,12,0,3,0,0
KDU-CSL,10,7,0,0,1,2
TOP09,7,3,0,3,0,1
STAN,6,3,0,1,2,0
Celkem,200,160,0,14,8,18
26. schůze, 112. hlasování, 29. ledna 2019, 14:09Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,69,0,3,0,6
ODS,25,0,22,1,0,2
Pirati,22,0,13,0,7,2
SPD,22,0,20,1,0,1
CSSD,15,7,0,1,3,4
KSCM,15,12,0,3,0,0
KDU-CSL,10,0,2,0,6,2
TOP09,7,0,0,2,4,1
STAN,6,0,0,1,5,0
Celkem,200,88,57,12,25,18
26. schůze, 113. hlasování, 29. ledna 2019, 14:10Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,20,3,48,6
ODS,25,0,0,1,22,2
Pirati,22,0,19,0,1,2
SPD,22,0,0,1,20,1
CSSD,15,4,1,1,5,4
KSCM,15,12,0,3,0,0
KDU-CSL,10,8,0,0,0,2
TOP09,7,0,2,2,2,1
STAN,6,0,0,1,5,0
Celkem,200,25,42,12,103,18
26. schůze, 114. hlasování, 29. ledna 2019, 14:11Pořad schůze
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,0,5,3,64,6
ODS,25,0,1,1,21,2
Pirati,22,15,0,0,5,2
SPD,22,20,0,1,0,1
CSSD,15,1,2,0,8,4
KSCM,15,10,0,3,2,0
KDU-CSL,10,0,2,0,6,2
TOP09,7,0,0,2,4,1
STAN,6,0,0,0,6,0
Celkem,200,46,10,10,116,18
26. schůze, 115. hlasování, 29. ledna 2019, 16:52Novela z. o nemocenském pojištění
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,20,4,10,36,8
ODS,25,16,0,4,2,3
Pirati,22,0,17,0,3,2
SPD,22,2,0,4,15,1
CSSD,15,0,9,1,0,5
KSCM,15,1,12,1,1,0
KDU-CSL,10,3,0,3,3,1
TOP09,7,4,0,2,0,1
STAN,6,5,0,0,1,0
Celkem,200,51,42,25,61,21
26. schůze, 116. hlasování, 29. ledna 2019, 16:53Novela z. o nemocenském pojištění
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,7,1,8
ODS,25,20,0,2,0,3
Pirati,22,20,0,0,0,2
SPD,22,17,0,4,0,1
CSSD,15,9,0,1,0,5
KSCM,15,14,0,1,0,0
KDU-CSL,10,7,0,2,0,1
TOP09,7,3,0,2,1,1
STAN,6,6,0,0,0,0
Celkem,200,158,0,19,2,21
26. schůze, 117. hlasování, 29. ledna 2019, 16:55Novela z. o nemocenském pojištění
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,60,0,7,3,8
ODS,25,19,0,2,1,3
Pirati,22,4,0,0,16,2
SPD,22,17,0,4,0,1
CSSD,15,0,8,1,1,5
KSCM,15,3,3,1,8,0
KDU-CSL,10,7,0,2,0,1
TOP09,7,5,0,1,0,1
STAN,6,6,0,0,0,0
Celkem,200,121,11,18,29,21
26. schůze, 118. hlasování, 29. ledna 2019, 16:55Novela z. o nemocenském pojištění
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,7,4,8
ODS,25,19,0,2,1,3
Pirati,22,20,0,0,0,2
SPD,22,17,0,4,0,1
CSSD,15,9,0,0,1,5
KSCM,15,14,0,1,0,0
KDU-CSL,10,7,0,2,0,1
TOP09,7,5,0,1,0,1
STAN,6,6,0,0,0,0
Celkem,200,156,0,17,6,21
26. schůze, 119. hlasování, 29. ledna 2019, 16:56Novela z. o nemocenském pojištění
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,12,8,7,43,8
ODS,25,0,20,2,0,3
Pirati,22,0,19,0,1,2
SPD,22,0,1,4,16,1
CSSD,15,10,0,0,0,5
KSCM,15,1,0,1,13,0
KDU-CSL,10,0,7,2,0,1
TOP09,7,0,5,1,0,1
STAN,6,0,6,0,0,0
Celkem,200,23,66,17,73,21
26. schůze, 120. hlasování, 29. ledna 2019, 17:33Novela z. o finanční kontrole - EU
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,11,0,8
ODS,25,0,19,4,0,2
Pirati,22,0,0,1,18,3
SPD,22,0,0,9,12,1
CSSD,15,5,0,3,2,5
KSCM,15,12,0,3,0,0
KDU-CSL,10,0,3,5,1,1
TOP09,7,0,4,2,0,1
STAN,6,0,4,2,0,0
Celkem,200,76,30,40,33,21
26. schůze, 121. hlasování, 30. ledna 2019, 09:39N.z. o náhradním výživném
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,61,0,3,6,8
ODS,25,19,0,0,4,2
Pirati,22,19,0,0,0,3
SPD,22,14,0,2,5,1
CSSD,15,8,1,2,0,4
KSCM,15,13,0,1,0,1
KDU-CSL,10,7,0,1,1,1
TOP09,7,3,0,0,1,3
STAN,6,5,0,0,1,0
Celkem,200,149,1,9,18,23
26. schůze, 122. hlasování, 30. ledna 2019, 11:46Novela z. o prodejní době
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,1,60,10,1,6
ODS,25,0,16,7,0,2
Pirati,22,16,0,3,0,3
SPD,22,0,0,4,17,1
CSSD,15,8,0,4,0,3
KSCM,15,12,0,2,0,1
KDU-CSL,10,7,0,2,0,1
TOP09,7,0,3,1,0,3
STAN,6,5,0,1,0,0
Celkem,200,49,79,34,18,20
26. schůze, 123. hlasování, 30. ledna 2019, 12:32Návrh na změny zasedacího pořádku v jednacím sále PS
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,63,0,3,7,5
ODS,25,20,1,2,0,2
Pirati,22,18,0,1,0,3
SPD,22,16,0,3,3,0
CSSD,15,9,0,2,1,3
KSCM,15,10,0,0,4,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,3,0,0,2,2
STAN,6,5,0,0,1,0
Celkem,200,153,1,11,18,17
26. schůze, 124. hlasování, 30. ledna 2019, 12:36Návrh na změny ve složení orgánů Poslanecké sněmovny
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,2,9,5
ODS,25,19,0,2,2,2
Pirati,22,19,0,1,0,2
SPD,22,16,0,3,3,0
CSSD,15,9,0,2,1,3
KSCM,15,11,0,0,3,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,3,0,0,2,2
STAN,6,6,0,0,0,0
Celkem,200,154,0,10,20,16
26. schůze, 125. hlasování, 30. ledna 2019, 12:36Návrh na změny ve složení orgánů Poslanecké sněmovny
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,62,0,2,9,5
ODS,25,18,0,2,3,2
Pirati,22,19,0,1,0,2
SPD,22,16,0,3,3,0
CSSD,15,9,0,2,1,3
KSCM,15,11,0,0,3,1
KDU-CSL,10,9,0,0,0,1
TOP09,7,3,0,0,2,2
STAN,6,6,0,0,0,0
Celkem,200,153,0,10,21,16
26. schůze, 126. hlasování, 30. ledna 2019, 16:14Novela z. o místních poplatcích
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,55,0,3,15,5
ODS,25,19,0,0,4,2
Pirati,22,19,0,0,1,2
SPD,22,15,0,2,4,1
CSSD,15,9,0,0,2,4
KSCM,15,9,0,0,5,1
KDU-CSL,10,6,0,0,3,1
TOP09,7,3,0,0,3,1
STAN,6,4,0,0,2,0
Celkem,200,139,0,5,39,17
26. schůze, 127. hlasování, 30. ledna 2019, 16:16Novela z. o místních poplatcích
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,8,11,3,51,5
ODS,25,18,0,0,5,2
Pirati,22,20,0,0,0,2
SPD,22,15,0,2,4,1
CSSD,15,1,6,0,4,4
KSCM,15,7,0,0,7,1
KDU-CSL,10,7,0,0,2,1
TOP09,7,3,0,0,3,1
STAN,6,4,0,0,2,0
Celkem,200,83,17,5,78,17
26. schůze, 128. hlasování, 30. ledna 2019, 16:17Novela z. o místních poplatcích
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,59,0,3,11,5
ODS,25,19,0,0,4,2
Pirati,22,19,0,0,1,2
SPD,22,14,0,2,5,1
CSSD,15,8,1,0,2,4
KSCM,15,2,0,0,12,1
KDU-CSL,10,7,0,0,2,1
TOP09,7,3,0,0,3,1
STAN,6,3,0,0,3,0
Celkem,200,134,1,5,43,17
26. schůze, 129. hlasování, 30. ledna 2019, 16:17Novela z. o místních poplatcích
,Poslancu,Ano,Ne,Neprihlasen,Zdrzel,Omluven
ANO,78,2,20,3,48,5
ODS,25,19,0,0,4,2
Pirati,22,19,0,0,1,2
SPD,22,15,0,1,5,1
CSSD,15,0,6,0,5,4
KSCM,15,2,2,0,10,1
